IP;BAN_DATE;UNBAN_DATE;REASON
5.43.187.29;1482434702;1482521109;"Паразитный трафик на сайт smartcarbon.tech / Parasite traffic on site smartcarbon.tech"
5.43.200.141;1482445743;1482532150;"Паразитный трафик на сайт smartcarbon.tech / Parasite traffic on site smartcarbon.tech"
5.44.54.218;1482242403;1482847204;"Брутфорс атака на сайт low-battery.ru/Brute force attack on site low-battery.ru"
5.45.120.87;1482393903;1482480305;"Паразитный трафик на сайт alena-smirnova.ru / Parasite traffic on site alena-smirnova.ru"
5.45.121.118;1482003483;1482608286;"Паразитный трафик на сайт stropuva-kotly.com.ua / Parasite traffic on site stropuva-kotly.com.ua"
5.52.70.13;1482319443;1482924243;"Паразитный трафик на сайт firma-dveri.ru / Parasite traffic on site firma-dveri.ru"
5.53.21.49;1482177901;1484769902;"Брутфорс атака на сайт bronirovanie-otelei.ru/Brute force attack on site bronirovanie-otelei.ru"
5.54.30.120;1482412562;1482498963;"Брутфорс атака на сайт greenenergy.in.ua/Brute force attack on site greenenergy.in.ua"
5.55.185.36;1480447803;1483039803;"Брутфорс атака на сайт openmind.com.ua/Brute force attack on site openmind.com.ua"
5.56.96.192;1479920402;1482512403;"Брутфорс атака на сайт nolimits.com.ua/Brute force attack on site nolimits.com.ua"
5.58.139.21;1482403143;1482489543;"Брутфорс атака на сайт streetsoccerasia.com/Brute force attack on site streetsoccerasia.com"
5.58.140.237;1482392582;1482478983;"Паразитный трафик на сайт newtel.org.ua / Parasite traffic on site newtel.org.ua"
5.58.177.166;1482445623;1482532029;"Паразитный трафик на сайт govnostroi.ru / Parasite traffic on site govnostroi.ru"
5.59.33.98;1482405123;1483009923;"Брутфорс атака на сайт runcominvest.com/Brute force attack on site runcominvest.com"
5.63.72.58;1482152222;1482757023;"Брутфорс атака на сайт nania.com.ua/Brute force attack on site nania.com.ua"
5.63.165.235;1482446161;1482532576;"Паразитный трафик на сайт coalbossapp.com / Parasite traffic on site coalbossapp.com"
5.76.34.63;1482447422;1482533823;"Брутфорс атака на сайт geymeri.ru/Brute force attack on site geymeri.ru"
5.76.132.115;1482435724;1482522128;"Паразитный трафик на сайт coalbossapp.com / Parasite traffic on site coalbossapp.com"
5.77.57.23;1482438181;1483042983;"Брутфорс атака на сайт humanrightsinukraine.org.ua/Brute force attack on site humanrightsinukraine.org.ua"
5.79.70.174;1482448564;1482534968;"Паразитный трафик на сайт mebelmoskva.net / Parasite traffic on site mebelmoskva.net"
5.79.70.177;1482421382;1483026184;"Брутфорс атака на сайт duevelsdorf.com.ua/Brute force attack on site duevelsdorf.com.ua"
5.79.233.253;1482442142;1482528546;"Паразитный трафик на сайт coalbossapp.com / Parasite traffic on site coalbossapp.com"
5.79.245.126;1482391202;1482477603;"Брутфорс атака на сайт laskabf.org/Brute force attack on site laskabf.org"
5.100.203.155;1482445623;1482532029;"Паразитный трафик на сайт govnostroi.ru / Parasite traffic on site govnostroi.ru"
5.101.114.174;1481095862;1483687869;"Паразитный трафик на сайт primera.com.ua / Parasite traffic on site primera.com.ua"
5.101.156.11;1482390602;1482477007;"Паразитный трафик на сайт artemgaz.dn.ua / Parasite traffic on site artemgaz.dn.ua"
5.101.156.31;1480098062;1482690064;"Паразитный трафик на сайт bisheffect.com / Parasite traffic on site bisheffect.com"
5.101.156.42;1480615442;1483207446;"Паразитный трафик на сайт bikeremont.dn.ua / Parasite traffic on site bikeremont.dn.ua"
5.101.156.43;1481313482;1483905497;"Паразитный трафик на сайт mebel-market.dn.ua / Parasite traffic on site mebel-market.dn.ua"
5.101.156.53;1482370142;1482974948;"Паразитный трафик на сайт artemgaz.dn.ua / Parasite traffic on site artemgaz.dn.ua"
5.101.156.55;1482003483;1484595486;"Паразитный трафик на сайт stropuva-kotly.com.ua / Parasite traffic on site stropuva-kotly.com.ua"
5.101.156.57;1481180943;1483772947;"Паразитный трафик на сайт seyardent.com / Parasite traffic on site seyardent.com"
5.101.156.58;1482390602;1482477007;"Паразитный трафик на сайт artemgaz.dn.ua / Parasite traffic on site artemgaz.dn.ua"
5.101.156.63;1481358542;1483950546;"Паразитный трафик на сайт mebel-market.dn.ua / Parasite traffic on site mebel-market.dn.ua"
5.101.156.80;1482408543;1482494949;"Паразитный трафик на сайт psylance.org / Parasite traffic on site psylance.org"
